Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
0,85,0,0,0,4,12000,0,0,0,85,50,4,0,4,12000,0,0
1,85,0,0,0,4,12000,0,0,1,85,50,4,0,4,12000,0,0
2,85,0,0,0,4,12000,0,0,2,85,50,4,0,4,12000,0,0
3,85,0,0,0,4,12000,0,0,3,85,50,4,0,4,12000,0,0
4,85,0,0,0,4,12000,0,0,4,85,50,4,0,4,12000,0,0
5,85,0,0,0,4,12000,0,0,5,85,50,4,0,4,12000,0,0
6,85,0,0,0,4,12000,0,0,6,85,50,4,0,4,12000,0,0
7,85,0,0,0,4,12000,0,0,7,85,50,4,0,4,12000,0,0
8,85,0,0,0,4,12000,0,0,8,85,50,4,0,4,12000,0,0
9,85,0,0,0,4,12000,0,0,9,85,50,4,0,4,12000,0,0
10,85,0,0,0,4,12000,0,0,10,85,50,4,0,4,12000,0,0
11,85,0,0,0,4,12000,0,0,11,85,50,4,0,4,12000,0,0
12,85,0,0,0,4,12000,0,0,12,85,50,4,0,4,12000,0,0
13,85,0,0,0,4,12000,0,0,13,85,50,4,0,4,12000,0,0
14,173,0,0,0,4,12000,0,0,14,173,100,8,0,4,12000,0,0
15,173,0,0,0,4,12000,0,0,15,173,100,8,0,4,12000,0,0
16,173,0,0,0,4,12000,0,0,16,173,100,8,0,4,12000,0,0
17,173,0,0,0,4,12000,0,0,17,173,100,8,0,4,12000,0,0
18,173,0,0,0,4,12000,0,0,18,173,100,8,0,4,12000,0,0
19,173,0,0,0,4,12000,0,0,19,173,100,8,0,4,12000,0,0
20,173,0,0,0,4,12000,0,0,20,173,100,8,0,4,12000,0,0
20,173,0,0,0,4,12000,0,0,20,173,100,8,0,4,12000,0,0
21,173,0,0,0,4,12000,0,0,21,173,100,8,0,4,12000,0,0
22,173,0,0,0,4,12000,0,0,22,173,100,8,0,4,12000,0,0
23,173,0,0,0,4,12000,0,0,23,173,100,8,0,4,12000,0,0
24,220,50,4,0,4,12000,0,0,24,220,100,8,0,4,12000,0,0
25,220,50,4,0,4,12000,0,0,25,220,100,8,0,4,12000,0,0
26,220,50,4,0,4,12000,0,0,26,220,100,8,0,4,12000,0,0
27,220,50,4,0,4,12000,0,0,27,220,100,8,0,4,12000,0,0
28,220,50,4,0,4,12000,0,0,28,220,100,8,0,4,12000,0,0
29,220,50,4,0,4,12000,0,0,29,220,100,8,0,4,12000,0,0
30,220,50,4,0,4,12000,0,0,30,220,100,8,0,4,12000,0,0
31,220,50,4,0,4,12000,0,0,31,220,100,8,0,4,12000,0,0
32,220,50,4,0,4,12000,0,0,32,220,100,8,0,4,12000,0,0
33,220,50,4,0,4,12000,0,0,33,220,100,8,0,4,12000,0,0
34,220,50,4,0,4,12000,0,0,34,220,100,8,0,4,12000,0,0
35,220,50,4,0,4,12000,0,0,35,220,100,8,0,4,12000,0,0
36,220,50,4,0,4,12000,0,0,36,220,100,8,0,4,12000,0,0
37,220,50,4,0,4,12000,0,0,37,220,100,8,0,4,12000,0,0
38,233,100,8,0,4,12000,0,0,38,233,100,8,0,4,12000,0,0
39,233,100,8,0,4,12000,0,0,39,233,100,8,0,4,12000,0,0
40,233,100,8,0,4,12000,0,0,40,233,100,8,0,4,12000,0,0
40,233,100,8,0,4,12000,0,0,40,233,100,8,0,4,12000,0,0
41,233,100,8,0,4,12000,0,0,41,233,100,8,0,4,12000,0,0
42,233,100,8,0,4,12000,0,0,42,233,100,8,0,4,12000,0,0
43,233,100,8,0,4,12000,0,0,43,233,100,8,0,4,12000,0,0
44,233,100,8,0,4,12000,0,0,44,233,100,8,0,4,12000,0,0
45,233,100,8,0,4,12000,0,0,45,233,100,8,0,4,12000,0,0
46,233,100,8,0,4,12000,0,0,46,233,100,8,0,4,12000,0,0
47,233,100,8,0,4,12000,0,0,47,233,100,8,0,4,12000,0,0
48,233,100,8,0,4,12000,0,0,48,233,100,8,0,4,12000,0,0
49,233,100,8,0,4,12000,0,0,49,233,100,8,0,4,12000,0,0
50,233,100,8,0,4,12000,0,0,50,233,100,8,0,4,12000,0,0
51,287,150,12,0,4,12000,0,0,51,287,200,12,0,4,12000,0,0
52,287,150,12,0,4,12000,0,0,52,287,200,12,0,4,12000,0,0
53,287,150,12,0,4,12000,0,0,53,287,200,12,0,4,12000,0,0
54,287,150,12,0,4,12000,0,0,54,287,200,12,0,4,12000,0,0
55,287,150,12,0,4,12000,0,0,55,287,200,12,0,4,12000,0,0
56,287,150,12,0,4,12000,0,0,56,287,200,12,0,4,12000,0,0
57,287,150,12,0,4,12000,0,0,57,287,200,12,0,4,12000,0,0
58,287,150,12,0,4,12000,0,0,58,287,200,12,0,4,12000,0,0
59,287,150,12,0,4,12000,0,0,59,287,200,12,0,4,12000,0,0
60,287,150,12,0,4,12000,0,0,60,287,200,12,0,4,12000,0,0
60,291,150,12,0,4,12000,0,0,60,291,200,12,0,4,12000,0,0
61,291,150,12,0,4,12000,0,0,61,291,200,12,0,4,12000,0,0
62,291,150,12,0,4,12000,0,0,62,291,200,12,0,4,12000,0,0
63,291,150,12,0,4,12000,0,0,63,291,200,12,0,4,12000,0,0
64,291,150,12,0,4,12000,0,0,64,291,200,12,0,4,12000,0,0
65,291,150,12,0,4,12000,0,0,65,291,200,12,0,4,12000,0,0
66,291,150,12,0,4,12000,0,0,66,291,200,12,0,4,12000,0,0
67,291,150,12,0,4,12000,0,0,67,291,200,12,0,4,12000,0,0
68,291,150,12,0,4,12000,0,0,68,291,200,12,0,4,12000,0,0
69,325,150,12,0,4,12000,0,0,69,325,200,12,0,4,12000,0,0
70,325,150,12,0,4,12000,0,0,70,325,200,12,0,4,12000,0,0
71,325,150,12,0,4,12000,0,0,71,325,200,12,0,4,12000,0,0
72,325,150,12,0,4,12000,0,0,72,325,200,12,0,4,12000,0,0
73,325,150,12,0,4,12000,0,0,73,325,200,12,0,4,12000,0,0
74,325,150,12,0,4,12000,0,0,74,325,200,12,0,4,12000,0,0
75,325,150,12,0,4,12000,0,0,75,325,200,12,0,4,12000,0,0
76,325,150,12,0,4,12000,0,0,76,325,200,12,0,4,12000,0,0
77,325,150,12,0,4,12000,0,0,77,325,200,12,0,4,12000,0,0
78,325,150,12,0,4,12000,0,0,78,325,200,12,0,4,12000,0,0
79,325,150,12,0,4,12000,0,0,79,325,200,12,0,4,12000,0,0
80,325,150,12,0,4,12000,0,0,80,325,200,12,0,4,12000,0,0
80,331,200,16,0,4,12000,0,0,80,331,200,12,0,4,12000,0,0
81,331,200,16,0,4,12000,0,0,81,331,200,12,0,4,12000,0,0
82,331,200,16,0,4,12000,0,0,82,331,200,12,0,4,12000,0,0
83,331,200,16,0,4,12000,0,0,83,331,200,12,0,4,12000,0,0
84,331,200,16,0,4,12000,0,0,84,331,200,12,0,4,12000,0,0
85,331,200,16,0,4,12000,0,0,85,331,200,12,0,4,12000,0,0
86,331,200,16,0,4,12000,0,0,86,331,200,12,0,4,12000,0,0
87,331,200,16,0,4,12000,0,0,87,331,200,12,0,4,12000,0,0
88,331,200,16,0,4,12000,0,0,88,331,200,12,0,4,12000,0,0
89,331,200,16,0,4,12000,0,0,89,331,200,12,0,4,12000,0,0
90,409,200,16,0,4,12000,0,0,90,409,300,16,0,4,12000,0,0
91,409,200,16,0,4,12000,0,0,91,409,300,16,0,4,12000,0,0
92,409,200,16,0,4,12000,0,0,92,409,300,16,0,4,12000,0,0
93,409,200,16,0,4,12000,0,0,93,409,300,16,0,4,12000,0,0
94,409,200,16,0,4,12000,0,0,94,409,300,16,0,4,12000,0,0
95,409,200,16,0,4,12000,0,0,95,409,300,16,0,4,12000,0,0
96,409,200,16,0,4,12000,0,0,96,409,300,16,0,4,12000,0,0
97,409,200,16,0,4,12000,0,0,97,409,300,16,0,4,12000,0,0
98,409,200,16,0,4,12000,0,0,98,409,300,16,0,4,12000,0,0
99,409,200,16,0,4,12000,0,0,99,409,300,16,0,4,12000,0,0
